chr,interval_start,interval_stop,methSeqStart,methSeqStop,methSeqLength,numU,numM,MD,case_1,case_10,case_11,case_12,case_13,case_14,case_15,case_16,case_17,case_18,case_19,case_2,case_20,case_3,case_4,case_5,case_6,case_7,case_8,case_9,control_1,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_2,control_20,control_3,control_4,control_5,control_6,control_7,control_8,control_9
chr19,58220244,58220744,58220146,58220266,120,9,0,0.0,1.0,,,,,1.0,,,,1.0,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220146,58220267,121,9,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,
chr19,58220244,58220744,58220146,58220307,161,12,0,0.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220147,58220267,120,9,0,0.0,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220147,58220268,121,9,0,0.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220148,58220268,120,9,0,0.0,,1.0,,,,,1.0,,,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220149,58220252,103,4,4,0.5,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220149,58220268,119,9,0,0.0,,,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220149,58220269,120,2,7,0.7777777777777778,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220149,58220269,120,9,0,0.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220149,58220531,240,21,0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220150,58220268,118,2,8,0.8,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220151,58220271,120,3,6,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220151,58220271,120,9,0,0.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220151,58220272,121,9,0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220153,58220249,96,7,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,
chr19,58220244,58220744,58220153,58220249,96,8,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0
chr19,58220244,58220744,58220153,58220273,120,9,0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220154,58220275,121,9,0,0.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220156,58220276,120,8,0,0.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220159,58220252,93,3,4,0.5714285714285714,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220159,58220275,116,7,1,0.125,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220159,58220275,116,8,0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220159,58220277,65,1,4,0.8,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220159,58220277,118,8,0,0.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220160,58220280,120,8,0,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220161,58220281,120,8,0,0.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220161,58220282,121,8,0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,
chr19,58220244,58220744,58220162,58220283,121,8,0,0.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220163,58220273,110,7,0,0.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220163,58220284,121,7,0,0.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
chr19,58220244,58220744,58220164,58220285,121,7,0,0.0,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220166,58220287,121,7,0,0.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220167,58220287,120,7,0,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220168,58220289,121,4,4,0.5,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220169,58220287,118,7,0,0.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220169,58220289,120,8,0,0.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220170,58220257,87,4,2,0.3333333333333333,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220170,58220290,120,8,0,0.0,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220171,58220285,114,7,0,0.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220171,58220291,120,8,0,0.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,
chr19,58220244,58220744,58220172,58220285,113,5,2,0.2857142857142857,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220173,58220256,83,1,5,0.8333333333333334,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220173,58220294,121,8,0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220174,58220269,95,2,5,0.7142857142857143,,,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220174,58220295,121,2,6,0.75,1.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220174,58220295,121,3,5,0.625,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220174,58220295,121,4,4,0.5,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220174,58220295,121,8,0,0.0,2.0,,2.0,,1.0,2.0,1.0,1.0,,,,1.0,2.0,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,1.0
chr19,58220244,58220744,58220174,58220363,189,3,10,0.7692307692307693,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220174,58220374,200,5,11,0.6875,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220175,58220296,121,8,0,0.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220176,58220253,77,4,2,0.3333333333333333,1.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220176,58220268,92,1,6,0.8571428571428571,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220176,58220269,93,4,3,0.42857142857142855,,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220177,58220298,121,2,7,0.7777777777777778,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220177,58220298,121,9,0,0.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220178,58220299,121,9,0,0.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220178,58220299,121,9,1,0.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220178,58220299,121,10,0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,
chr19,58220244,58220744,58220179,58220269,90,2,5,0.7142857142857143,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220179,58220300,121,10,0,0.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220180,58220294,114,8,0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220180,58220300,120,10,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
chr19,58220244,58220744,58220180,58220301,121,2,8,0.8,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220183,58220303,120,10,0,0.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220185,58220305,120,10,0,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220186,58220306,120,9,1,0.1,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220187,58220308,121,10,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0
chr19,58220244,58220744,58220188,58220309,121,2,8,0.8,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220189,58220309,120,10,0,0.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220192,58220313,121,9,0,0.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220193,58220313,120,9,0,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220193,58220314,121,9,0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220193,58220346,153,11,0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220198,58220319,121,5,4,0.4444444444444444,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220198,58220319,121,9,0,0.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
chr19,58220244,58220744,58220198,58220453,242,20,0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220199,58220315,116,8,0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220199,58220320,121,9,0,0.0,,,1.0,,,,,1.0,,,2.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220200,58220252,52,1,3,0.75,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220200,58220310,110,8,0,0.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220200,58220321,121,9,0,0.0,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0
chr19,58220244,58220744,58220200,58220466,241,20,1,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
chr19,58220244,58220744,58220201,58220321,120,9,0,0.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220201,58220322,121,9,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0
chr19,58220244,58220744,58220203,58220323,120,4,5,0.5555555555555556,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220204,58220313,109,8,0,0.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220204,58220325,121,0,9,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220204,58220325,121,2,7,0.7777777777777778,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220204,58220325,121,9,0,0.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220204,58220342,138,10,0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220204,58220364,160,0,11,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220206,58220327,121,3,6,0.6666666666666666,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220207,58220324,117,9,0,0.0,,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220207,58220326,119,8,1,0.1111111111111111,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220207,58220472,239,19,2,0.09523809523809523,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220212,58220268,56,0,4,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220212,58220270,58,0,4,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220214,58220259,45,0,3,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220214,58220335,121,9,0,0.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,
chr19,58220244,58220744,58220214,58220335,121,11,0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220214,58220378,164,14,0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220215,58220336,121,9,0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220216,58220324,108,8,0,0.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220216,58220337,121,9,0,0.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220218,58220252,34,0,3,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220218,58220338,120,9,0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220219,58220339,120,1,8,0.8888888888888888,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220219,58220457,238,1,19,0.95,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220220,58220340,120,6,1,0.14285714285714285,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220220,58220340,120,9,0,0.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220221,58220269,48,2,2,0.5,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220221,58220341,120,0,9,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220221,58220341,120,9,0,0.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220221,58220375,154,12,1,0.07692307692307693,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220222,58220332,110,8,0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,
chr19,58220244,58220744,58220222,58220339,117,8,0,0.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220222,58220342,120,8,0,0.0,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220223,58220344,121,7,1,0.125,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,
chr19,58220244,58220744,58220224,58220345,121,2,6,0.75,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
chr19,58220244,58220744,58220224,58220345,121,8,0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0
